date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
2025-04-01,2025-04-04,C,100000,0.01,0.03,10,167414240,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,101000,0,0.03,0,168257698,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,102000,0,1.17,2,168257699,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,103000,0,2,0,168257700,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,104000,0,1.27,0,168257701,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,105000,0,0.02,0,167414241,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,106000,0,0.82,0,168257702,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,107000,0,0.67,0,168339313,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,110000,0,0.58,0,167414242,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,115000,0,0.54,0,167414243,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,50000,42.7,45.2,0,167414244,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,55000,37.7,40.2,0,167414245,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,60000,32.75,35.3,0,167414246,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,65000,28,29.65,2,167414247,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,70000,23.8,24.25,0,167414248,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,75000,18.8,19.25,0,167414249,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,78000,15.8,16.3,0,168029616,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,79000,14.8,15.3,0,167861751,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,80000,13.85,14.3,0,167414250,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,81000,12.85,13.25,0,167414251,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,82000,11.75,12.3,0,167414252,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,83000,10.8,11.3,0,167414253,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,83500,10.3,10.75,0,167375869,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,84000,9.8,10.3,0,167375870,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,84500,9.3,9.8,0,167375871,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,85000,8.8,9.25,0,167375872,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,85500,8.35,8.8,0,167375873,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,86000,7.85,8.25,0,167375874,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,86500,7.35,7.8,0,167375875,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,87000,6.9,7.25,0,167375876,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,87500,6.35,6.8,0,167375877,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,88000,5.9,6.3,1,167375878,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,88500,5.35,5.8,0,167375879,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,89000,4.8,5.35,1,167375880,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,89500,4.45,4.75,0,167375881,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,90000,4,4.2,10,167375882,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,90500,3.45,3.8,0,167375883,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,91000,3.1,3.25,2,167375884,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,91500,2.67,2.8,65,167375885,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,92000,2.27,2.37,122,167375886,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,92500,1.88,1.95,32,167375887,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,93000,1.52,1.6,139,167375888,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,93500,1.19,1.25,128,167375889,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,94000,0.92,0.96,200,167375890,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,94500,0.68,0.72,527,167375891,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,95000,0.49,0.52,747,167375892,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,95500,0.33,0.36,166,168029617,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,96000,0.22,0.25,107,167414254,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,96500,0.15,0.17,25,168257703,0,SSGA ACTIVE TRUST,A
2025-04-01,2025-04-04,C,97000,0.1,0.12,14,167414255,0,SSGA ACTIVE TRUST,A
