date,exdate,strike_price,best_bid,best_offer,cp_flag,volume
2026-01-06,2026-01-06,6400000,508.63,508.63,C,0
2026-01-06,2026-01-06,6401000,507.93,507.93,C,0
2026-01-06,2026-01-06,6402000,507.0,507.0,C,0
2026-01-06,2026-01-06,6403000,506.07,506.07,C,0
2026-01-06,2026-01-06,6404000,505.13,505.13,C,0
2026-01-06,2026-01-06,6405000,503.97,503.97,C,0
2026-01-06,2026-01-06,6406000,503.03,503.03,C,0
2026-01-06,2026-01-06,6407000,502.1,502.1,C,0
2026-01-06,2026-01-06,6408000,500.93,500.93,C,0
2026-01-06,2026-01-06,6409000,500.0,500.0,C,0
2026-01-06,2026-01-06,6410000,499.06,499.06,C,0
2026-01-06,2026-01-06,6411000,498.13,498.13,C,0
2026-01-06,2026-01-06,6412000,496.96,496.96,C,0
2026-01-06,2026-01-06,6413000,496.03,496.03,C,0
2026-01-06,2026-01-06,6414000,495.1,495.1,C,0
2026-01-06,2026-01-06,6415000,493.93,493.93,C,0
2026-01-06,2026-01-06,6416000,493.0,493.0,C,0
2026-01-06,2026-01-06,6417000,492.06,492.06,C,0
2026-01-06,2026-01-06,6418000,491.13,491.13,C,0
2026-01-06,2026-01-06,6419000,489.96,489.96,C,0
2026-01-06,2026-01-06,6420000,489.03,489.03,C,0
2026-01-06,2026-01-06,6421000,488.09,488.09,C,0
2026-01-06,2026-01-06,6422000,486.93,486.93,C,0
2026-01-06,2026-01-06,6423000,485.99,485.99,C,0
2026-01-06,2026-01-06,6424000,485.06,485.06,C,0
2026-01-06,2026-01-06,6425000,484.13,484.13,C,0
2026-01-06,2026-01-06,6426000,482.96,482.96,C,0
2026-01-06,2026-01-06,6427000,482.03,482.03,C,0
2026-01-06,2026-01-06,6428000,481.09,481.09,C,0
2026-01-06,2026-01-06,6429000,479.93,479.93,C,0
2026-01-06,2026-01-06,6430000,478.99,478.99,C,0
2026-01-06,2026-01-06,6431000,478.06,478.06,C,0
2026-01-06,2026-01-06,6432000,477.12,477.12,C,0
2026-01-06,2026-01-06,6433000,475.96,475.96,C,0
2026-01-06,2026-01-06,6434000,475.02,475.02,C,0
2026-01-06,2026-01-06,6435000,474.09,474.09,C,0
2026-01-06,2026-01-06,6436000,472.92,472.92,C,0
2026-01-06,2026-01-06,6437000,471.99,471.99,C,0
2026-01-06,2026-01-06,6438000,471.06,471.06,C,0
2026-01-06,2026-01-06,6439000,470.12,470.12,C,0
2026-01-06,2026-01-06,6440000,468.96,468.96,C,0
2026-01-06,2026-01-06,6441000,468.02,468.02,C,0
2026-01-06,2026-01-06,6442000,467.09,467.09,C,0
2026-01-06,2026-01-06,6443000,465.92,465.92,C,0
2026-01-06,2026-01-06,6444000,464.99,464.99,C,0
2026-01-06,2026-01-06,6445000,464.05,464.05,C,0
2026-01-06,2026-01-06,6446000,463.12,463.12,C,0
2026-01-06,2026-01-06,6447000,461.95,461.95,C,0
2026-01-06,2026-01-06,6448000,461.02,461.02,C,0
2026-01-06,2026-01-06,6449000,460.09,460.09,C,0
2026-01-06,2026-01-06,6450000,458.92,458.92,C,0
2026-01-06,2026-01-06,6451000,457.99,457.99,C,0
2026-01-06,2026-01-06,6452000,457.05,457.05,C,0
2026-01-06,2026-01-06,6453000,456.12,456.12,C,0
2026-01-06,2026-01-06,6454000,454.95,454.95,C,0
2026-01-06,2026-01-06,6455000,454.02,454.02,C,0
2026-01-06,2026-01-06,6456000,453.08,453.08,C,0
2026-01-06,2026-01-06,6457000,451.92,451.92,C,0
2026-01-06,2026-01-06,6458000,450.98,450.98,C,0
2026-01-06,2026-01-06,6459000,450.05,450.05,C,0
2026-01-06,2026-01-06,6460000,449.12,449.12,C,0
2026-01-06,2026-01-06,6461000,447.95,447.95,C,0
2026-01-06,2026-01-06,6462000,447.02,447.02,C,0
2026-01-06,2026-01-06,6463000,446.08,446.08,C,0
2026-01-06,2026-01-06,6464000,444.91,444.91,C,0
2026-01-06,2026-01-06,6465000,443.98,443.98,C,0
2026-01-06,2026-01-06,6466000,443.05,443.05,C,0
2026-01-06,2026-01-06,6467000,442.11,442.11,C,0
2026-01-06,2026-01-06,6468000,440.95,440.95,C,0
2026-01-06,2026-01-06,6469000,440.01,440.01,C,0
2026-01-06,2026-01-06,6470000,439.08,439.08,C,0
2026-01-06,2026-01-06,6471000,437.91,437.91,C,0
2026-01-06,2026-01-06,6472000,436.98,436.98,C,0
2026-01-06,2026-01-06,6473000,436.04,436.04,C,0
