tic,date,price,gvkey
XLE,1/4/2010,58.81,126374
XLE,1/5/2010,59.29,126374
XLE,1/6/2010,60,126374
XLE,1/7/2010,59.91,126374
XLE,1/8/2010,60.3,126374
XLE,1/11/2010,60.22,126374
XLE,1/12/2010,59.35,126374
XLE,1/13/2010,59.57,126374
XLE,1/14/2010,59.74,126374
XLE,1/15/2010,59.26,126374
XLE,1/19/2010,59.8,126374
XLE,1/20/2010,58.87,126374
XLE,1/21/2010,57.67,126374
XLE,1/22/2010,56.3,126374
XLE,1/25/2010,56.67,126374
XLE,1/26/2010,56.31,126374
XLE,1/27/2010,56.09,126374
XLE,1/28/2010,55.5,126374
XLE,1/29/2010,54.5,126374
XLE,2/1/2010,56.3,126374
XLE,2/2/2010,57.04,126374
XLE,2/3/2010,56.55,126374
XLE,2/4/2010,54.23,126374
XLE,2/5/2010,54.24,126374
XLE,2/8/2010,53.74,126374
XLE,2/9/2010,54.87,126374
XLE,2/10/2010,54.64,126374
XLE,2/11/2010,55.57,126374
XLE,2/12/2010,55.59,126374
XLE,2/16/2010,56.9,126374
XLE,2/17/2010,56.82,126374
XLE,2/18/2010,57.14,126374
XLE,2/19/2010,57.36,126374
XLE,2/22/2010,56.57,126374
XLE,2/23/2010,55.63,126374
XLE,2/24/2010,55.98,126374
XLE,2/25/2010,56.01,126374
XLE,2/26/2010,56.14,126374
XLE,3/1/2010,56.66,126374
XLE,3/2/2010,57.13,126374
XLE,3/3/2010,57.38,126374
XLE,3/4/2010,57.08,126374
XLE,3/5/2010,58.15,126374
XLE,3/8/2010,58.06,126374
XLE,3/9/2010,58.06,126374
XLE,3/10/2010,58.57,126374
XLE,3/11/2010,58.47,126374
XLE,3/12/2010,58.5,126374
XLE,3/15/2010,57.9,126374
XLE,3/16/2010,58.42,126374
XLE,3/17/2010,59.06,126374
XLE,3/18/2010,58.18,126374
XLE,3/19/2010,57.28,126374
XLE,3/22/2010,57.13,126374
XLE,3/23/2010,57.35,126374
XLE,3/24/2010,57.02,126374
XLE,3/25/2010,56.06,126374
XLE,3/26/2010,56.08,126374
XLE,3/29/2010,57.17,126374
XLE,3/30/2010,57.26,126374
XLE,3/31/2010,57.52,126374
XLE,4/1/2010,58.54,126374
XLE,4/5/2010,59.58,126374
XLE,4/6/2010,59.58,126374
XLE,4/7/2010,58.99,126374
XLE,4/8/2010,59.2,126374
XLE,4/9/2010,59.83,126374
XLE,4/12/2010,59.97,126374
