date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
2025-03-31,2025-03-31,C,100000,0.01,0.02,200,161020891,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,101000,0,0.53,0,161020892,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,102000,0,0.4,2,161020893,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,103000,0,0.53,2,161020894,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,104000,0,0.32,2,161020895,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,105000,0,0.53,2,161020896,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,106000,0,0.53,2,161020897,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,107000,0,0.4,2,161020898,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,108000,0,0.53,4,161020899,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,109000,0,0.53,2,161020900,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,110000,0,0.01,2,161020901,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,115000,0,0.01,2,161020902,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,120000,0,0.05,0,161020903,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,125000,0,0.01,2,161117675,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,50000,41.5,45.5,0,162126359,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,55000,36.5,40.5,0,162126360,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,60000,31.5,35.6,10,162126361,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,65000,27.2,29.6,0,162126362,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,66000,26.05,28.75,10,162126363,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,67000,25.65,27.6,10,162126364,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,68000,24.55,26.55,0,162126365,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,69000,23.85,25.2,0,162126366,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,70000,22.8,24.75,0,161020904,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,71000,21.9,23.5,10,162126367,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,72000,20.75,22.75,10,161020905,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,73000,19.85,21.5,0,161020906,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,74000,18.95,20.5,10,161020907,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,75000,17.75,19.75,10,161020908,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,76000,16.8,18.45,0,161020909,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,77000,15.65,17.65,0,161020910,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,78000,15.15,15.85,0,161020911,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,79000,13.9,15.35,0,161020912,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,80000,13.15,13.7,0,161020913,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,81000,12.1,13.45,0,161020914,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,82000,11.15,11.65,5,161020915,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,83000,10.15,10.8,0,161020916,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,84000,9.15,9.75,0,161020917,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,85000,8.15,8.85,0,161020918,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,86000,7.15,7.85,2,161020919,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,87000,6.2,6.65,1,161020920,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,88000,5.2,5.7,1,161020921,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,89000,4.4,4.85,3,161020922,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,90000,3.15,3.85,109,161020923,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,91000,2.14,2.86,14,161020924,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,92000,1.2,2.06,255,161020925,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,93000,0.24,0.63,426,161020926,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,94000,0.01,0.01,481,161020927,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,95000,0.01,0.01,418,161020928,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,96000,0,0.01,0,161020929,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,97000,0.01,0.02,275,161020930,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,98000,0,0.02,0,161020931,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,C,99000,0,0.53,0,161020932,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,100000,6.35,6.85,5,161020933,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,101000,6.3,8.3,0,161020934,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,102000,7.3,9.25,0,161020935,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,103000,8.3,10,0,161020936,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,104000,9.45,11.05,0,161020937,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,105000,10.2,12.2,10,161020938,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,106000,11.45,12.65,10,161020939,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,107000,12.4,14.15,0,161020940,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,108000,13.55,15.15,0,161020941,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,109000,14.25,16.2,0,161020942,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,110000,15.7,17.1,0,161020943,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,115000,20.45,21.85,0,161020944,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,120000,25.2,27.8,0,161020945,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,125000,29.55,32.8,0,161117676,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,50000,0,0.01,0,162126368,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,55000,0,0.88,0,162126369,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,60000,0,0.53,0,162126370,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,65000,0,0.09,0,162126371,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,66000,0,0.53,0,162126372,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,67000,0,0.01,0,162126373,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,68000,0,0.08,0,162126374,0,SSGA ACTIVE TRUST,A
2025-03-31,2025-03-31,P,69000,0,0.4,2,162126375,0,SSGA ACTIVE TRUST,A
